image,split,source_image,is_dark_augmented,num_labels
front_dataset_0036.jpg,test,front_dataset_0036.jpg,false,5
front_dataset_0037.jpg,train,front_dataset_0037.jpg,false,1
front_dataset_0038.jpg,train,front_dataset_0038.jpg,false,3
front_dataset_0039.jpg,train,front_dataset_0039.jpg,false,3
front_dataset_0040.jpg,train,front_dataset_0040.jpg,false,5
front_dataset_0041.jpg,train,front_dataset_0041.jpg,false,4
front_dataset_0042.jpg,test,front_dataset_0042.jpg,false,4
front_dataset_0043.jpg,valid,front_dataset_0043.jpg,false,5
front_dataset_0044.jpg,train,front_dataset_0044.jpg,false,3
front_dataset_0045.jpg,train,front_dataset_0045.jpg,false,3
front_dataset_0046.jpg,valid,front_dataset_0046.jpg,false,3
front_dataset_0047.jpg,train,front_dataset_0047.jpg,false,3
front_dataset_0048.jpg,train,front_dataset_0048.jpg,false,1
front_dataset_0049.jpg,train,front_dataset_0049.jpg,false,3
front_dataset_0050.jpg,train,front_dataset_0050.jpg,false,2
front_dataset_0051.jpg,train,front_dataset_0051.jpg,false,1
front_dataset_0052.jpg,train,front_dataset_0052.jpg,false,3
front_dataset_0053.jpg,train,front_dataset_0053.jpg,false,0
front_dataset_0054.jpg,train,front_dataset_0054.jpg,false,0
front_dataset_0055.jpg,test,front_dataset_0055.jpg,false,1
front_dataset_0056.jpg,test,front_dataset_0056.jpg,false,3
front_dataset_0057.jpg,train,front_dataset_0057.jpg,false,3
front_dataset_0058.jpg,train,front_dataset_0058.jpg,false,2
front_dataset_0059.jpg,valid,front_dataset_0059.jpg,false,5
front_dataset_0060.jpg,train,front_dataset_0060.jpg,false,4
front_dataset_0061.jpg,train,front_dataset_0061.jpg,false,3
front_dataset_0062.jpg,valid,front_dataset_0062.jpg,false,5
front_dataset_0063.jpg,train,front_dataset_0063.jpg,false,4
front_dataset_0064.jpg,valid,front_dataset_0064.jpg,false,3
front_dataset_0065.jpg,train,front_dataset_0065.jpg,false,3
front_dataset_0066.jpg,train,front_dataset_0066.jpg,false,2
front_dataset_0067.jpg,train,front_dataset_0067.jpg,false,2
front_dataset_0068.jpg,valid,front_dataset_0068.jpg,false,3
front_dataset_0069.jpg,train,front_dataset_0069.jpg,false,4
front_dataset_0070.jpg,train,front_dataset_0070.jpg,false,4
front_dataset_0071.jpg,valid,front_dataset_0071.jpg,false,3
front_dataset_0072.jpg,train,front_dataset_0072.jpg,false,3
front_dataset_0073.jpg,train,front_dataset_0073.jpg,false,4
front_dataset_0074.jpg,valid,front_dataset_0074.jpg,false,3
front_dataset_0075.jpg,train,front_dataset_0075.jpg,false,3
front_dataset_0076.jpg,train,front_dataset_0076.jpg,false,3
front_dataset_0077.jpg,train,front_dataset_0077.jpg,false,5
front_dataset_0078.jpg,train,front_dataset_0078.jpg,false,4
front_dataset_0079.jpg,valid,front_dataset_0079.jpg,false,5
front_dataset_0080.jpg,train,front_dataset_0080.jpg,false,4
front_dataset_0081.jpg,test,front_dataset_0081.jpg,false,5
front_dataset_0082.jpg,train,front_dataset_0082.jpg,false,5
front_dataset_0083.jpg,train,front_dataset_0083.jpg,false,5
front_dataset_0084.jpg,test,front_dataset_0084.jpg,false,5
front_dataset_0085.jpg,valid,front_dataset_0085.jpg,false,5
front_dataset_0086.jpg,train,front_dataset_0086.jpg,false,2
front_dataset_0087.jpg,train,front_dataset_0087.jpg,false,1
front_dataset_0088.jpg,valid,front_dataset_0088.jpg,false,4
front_dataset_0089.jpg,train,front_dataset_0089.jpg,false,3
front_dataset_0090.jpg,train,front_dataset_0090.jpg,false,3
front_dataset_0091.jpg,valid,front_dataset_0091.jpg,false,2
front_dataset_0092.jpg,train,front_dataset_0092.jpg,false,1
front_dataset_0093.jpg,train,front_dataset_0093.jpg,false,2
front_dataset_0094.jpg,train,front_dataset_0094.jpg,false,0
front_dataset_0095.jpg,train,front_dataset_0095.jpg,false,2
front_dataset_0096.jpg,train,front_dataset_0096.jpg,false,1
front_dataset_0097.jpg,train,front_dataset_0097.jpg,false,0
front_dataset_0098.jpg,train,front_dataset_0098.jpg,false,0
front_dataset_0099.jpg,valid,front_dataset_0099.jpg,false,2
front_dataset_0100.jpg,test,front_dataset_0100.jpg,false,1
front_dataset_0101.jpg,train,front_dataset_0101.jpg,false,2
front_dataset_0102.jpg,train,front_dataset_0102.jpg,false,2
front_dataset_0103.jpg,train,front_dataset_0103.jpg,false,0
front_dataset_0104.jpg,valid,front_dataset_0104.jpg,false,1
front_dataset_0105.jpg,train,front_dataset_0105.jpg,false,2
front_dataset_0106.jpg,train,front_dataset_0106.jpg,false,1
front_dataset_0107.jpg,train,front_dataset_0107.jpg,false,4
front_dataset_0108.jpg,train,front_dataset_0108.jpg,false,4
front_dataset_0109.jpg,train,front_dataset_0109.jpg,false,6
front_dataset_0110.jpg,test,front_dataset_0110.jpg,false,6
front_dataset_0111.jpg,train,front_dataset_0111.jpg,false,5
front_dataset_0112.jpg,train,front_dataset_0112.jpg,false,5
front_dataset_0113.jpg,test,front_dataset_0113.jpg,false,4
front_dataset_0114.jpg,valid,front_dataset_0114.jpg,false,3
front_dataset_0115.jpg,train,front_dataset_0115.jpg,false,3
front_dataset_0116.jpg,train,front_dataset_0116.jpg,false,4
front_dataset_0117.jpg,valid,front_dataset_0117.jpg,false,4
front_dataset_0118.jpg,train,front_dataset_0118.jpg,false,2
front_dataset_0119.jpg,test,front_dataset_0119.jpg,false,2
front_dataset_0120.jpg,train,front_dataset_0120.jpg,false,4
front_dataset_0121.jpg,train,front_dataset_0121.jpg,false,2
front_dataset_0122.jpg,train,front_dataset_0122.jpg,false,2
front_dataset_0123.jpg,valid,front_dataset_0123.jpg,false,3
front_dataset_0124.jpg,valid,front_dataset_0124.jpg,false,4
front_dataset_0125.jpg,valid,front_dataset_0125.jpg,false,2
front_dataset_0126.jpg,train,front_dataset_0126.jpg,false,3
front_dataset_0127.jpg,train,front_dataset_0127.jpg,false,3
front_dataset_0128.jpg,valid,front_dataset_0128.jpg,false,4
front_dataset_0129.jpg,train,front_dataset_0129.jpg,false,4
front_dataset_0130.jpg,train,front_dataset_0130.jpg,false,6
front_dataset_0131.jpg,train,front_dataset_0131.jpg,false,5
front_dataset_0132.jpg,train,front_dataset_0132.jpg,false,4
front_dataset_0133.jpg,test,front_dataset_0133.jpg,false,4
front_dataset_0134.jpg,train,front_dataset_0134.jpg,false,4
front_dataset_0135.jpg,train,front_dataset_0135.jpg,false,4
front_dataset_0136.jpg,valid,front_dataset_0136.jpg,false,5
front_dataset_0137.jpg,train,front_dataset_0137.jpg,false,4
front_dataset_0138.jpg,train,front_dataset_0138.jpg,false,4
front_dataset_0139.jpg,train,front_dataset_0139.jpg,false,4
front_dataset_0140.jpg,train,front_dataset_0140.jpg,false,4
front_dataset_0141.jpg,train,front_dataset_0141.jpg,false,4
front_dataset_0142.jpg,train,front_dataset_0142.jpg,false,4
front_dataset_0143.jpg,train,front_dataset_0143.jpg,false,3
front_dataset_0144.jpg,train,front_dataset_0144.jpg,false,3
front_dataset_0145.jpg,train,front_dataset_0145.jpg,false,4
front_dataset_0146.jpg,valid,front_dataset_0146.jpg,false,3
front_dataset_0147.jpg,train,front_dataset_0147.jpg,false,3
front_dataset_0148.jpg,train,front_dataset_0148.jpg,false,3
front_dataset_0149.jpg,train,front_dataset_0149.jpg,false,3
front_dataset_0150.jpg,train,front_dataset_0150.jpg,false,4
front_dataset_0151.jpg,train,front_dataset_0151.jpg,false,3
front_dataset_0152.jpg,train,front_dataset_0152.jpg,false,3
front_dataset_0153.jpg,test,front_dataset_0153.jpg,false,3
front_dataset_0154.jpg,train,front_dataset_0154.jpg,false,3
front_dataset_0155.jpg,valid,front_dataset_0155.jpg,false,5
front_dataset_0156.jpg,train,front_dataset_0156.jpg,false,3
front_dataset_0157.jpg,train,front_dataset_0157.jpg,false,3
front_dataset_0158.jpg,valid,front_dataset_0158.jpg,false,5
front_dataset_0159.jpg,train,front_dataset_0159.jpg,false,4
front_dataset_0160.jpg,train,front_dataset_0160.jpg,false,4
front_dataset_0161.jpg,train,front_dataset_0161.jpg,false,4
front_dataset_0162.jpg,train,front_dataset_0162.jpg,false,4
front_dataset_0163.jpg,train,front_dataset_0163.jpg,false,4
front_dataset_0164.jpg,valid,front_dataset_0164.jpg,false,3
front_dataset_0165.jpg,valid,front_dataset_0165.jpg,false,3
front_dataset_0166.jpg,valid,front_dataset_0166.jpg,false,3
front_dataset_0167.jpg,train,front_dataset_0167.jpg,false,2
front_dataset_0168.jpg,valid,front_dataset_0168.jpg,false,2
front_dataset_0169.jpg,test,front_dataset_0169.jpg,false,1
front_dataset_0170.jpg,valid,front_dataset_0170.jpg,false,1
front_dataset_0171.jpg,train,front_dataset_0171.jpg,false,2
front_dataset_0172.jpg,train,front_dataset_0172.jpg,false,2
front_dataset_0173.jpg,train,front_dataset_0173.jpg,false,3
front_dataset_0174.jpg,train,front_dataset_0174.jpg,false,2
front_dataset_0175.jpg,test,front_dataset_0175.jpg,false,2
front_dataset_0176.jpg,train,front_dataset_0176.jpg,false,3
front_dataset_0177.jpg,train,front_dataset_0177.jpg,false,3
front_dataset_0178.jpg,train,front_dataset_0178.jpg,false,3
front_dataset_0179.jpg,train,front_dataset_0179.jpg,false,3
front_dataset_0180.jpg,train,front_dataset_0180.jpg,false,3
front_dataset_0181.jpg,train,front_dataset_0181.jpg,false,4
front_dataset_0182.jpg,train,front_dataset_0182.jpg,false,5
front_dataset_0183.jpg,train,front_dataset_0183.jpg,false,4
front_dataset_0184.jpg,train,front_dataset_0184.jpg,false,3
front_dataset_0185.jpg,train,front_dataset_0185.jpg,false,4
front_dataset_0186.jpg,valid,front_dataset_0186.jpg,false,4
front_dataset_0187.jpg,train,front_dataset_0187.jpg,false,3
front_dataset_0188.jpg,train,front_dataset_0188.jpg,false,4
front_dataset_0189.jpg,train,front_dataset_0189.jpg,false,2
front_dataset_0190.jpg,train,front_dataset_0190.jpg,false,2
front_dataset_0191.jpg,test,front_dataset_0191.jpg,false,2
front_dataset_0192.jpg,train,front_dataset_0192.jpg,false,3
front_dataset_0193.jpg,train,front_dataset_0193.jpg,false,3
front_dataset_0194.jpg,valid,front_dataset_0194.jpg,false,2
front_dataset_0195.jpg,train,front_dataset_0195.jpg,false,4
front_dataset_0196.jpg,test,front_dataset_0196.jpg,false,2
front_dataset_0197.jpg,valid,front_dataset_0197.jpg,false,2
front_dataset_0198.jpg,test,front_dataset_0198.jpg,false,2
front_dataset_0199.jpg,train,front_dataset_0199.jpg,false,4
front_dataset_0200.jpg,valid,front_dataset_0088.jpg,true,2
front_dataset_0201.jpg,test,front_dataset_0196.jpg,true,2
front_dataset_0202.jpg,test,front_dataset_0198.jpg,true,2
front_dataset_0203.jpg,train,front_dataset_0067.jpg,true,3
front_dataset_0204.jpg,valid,front_dataset_0010.jpg,true,3
front_dataset_0205.jpg,valid,front_dataset_0091.jpg,true,2
front_dataset_0206.jpg,train,front_dataset_0150.jpg,true,2
front_dataset_0207.jpg,train,front_dataset_0130.jpg,true,5
front_dataset_0208.jpg,train,front_dataset_0089.jpg,true,2
front_dataset_0209.jpg,valid,front_dataset_0136.jpg,true,5
front_dataset_0210.jpg,train,front_dataset_0180.jpg,true,3
front_dataset_0211.jpg,train,front_dataset_0189.jpg,true,2
front_dataset_0212.jpg,train,front_dataset_0087.jpg,true,1
front_dataset_0213.jpg,test,front_dataset_0013.jpg,true,1
front_dataset_0214.jpg,valid,front_dataset_0043.jpg,true,3
front_dataset_0215.jpg,train,front_dataset_0139.jpg,true,3
front_dataset_0216.jpg,valid,front_dataset_0197.jpg,true,1
front_dataset_0217.jpg,valid,front_dataset_0074.jpg,true,3
front_dataset_0218.jpg,valid,front_dataset_0104.jpg,true,1
front_dataset_0219.jpg,train,front_dataset_0131.jpg,true,4
front_dataset_0220.jpg,valid,front_dataset_0155.jpg,true,4
front_dataset_0221.jpg,valid,front_dataset_0071.jpg,true,2
front_dataset_0222.jpg,test,front_dataset_0084.jpg,true,4
front_dataset_0223.jpg,train,front_dataset_0022.jpg,true,4
front_dataset_0224.jpg,train,front_dataset_0107.jpg,true,4
front_dataset_0225.jpg,train,front_dataset_0019.jpg,true,2
front_dataset_0226.jpg,train,front_dataset_0177.jpg,true,3
front_dataset_0227.jpg,valid,front_dataset_0017.jpg,true,2
front_dataset_0228.jpg,test,front_dataset_0153.jpg,true,2
front_dataset_0229.jpg,test,front_dataset_0191.jpg,true,2
front_dataset_0230.jpg,train,front_dataset_0171.jpg,true,2
front_dataset_0231.jpg,train,front_dataset_0145.jpg,true,3
front_dataset_0232.jpg,valid,front_dataset_0170.jpg,true,1
front_dataset_0233.jpg,train,front_dataset_0054.jpg,true,0
front_dataset_0234.jpg,train,front_dataset_0102.jpg,true,2
front_dataset_0235.jpg,train,front_dataset_0027.jpg,true,2
front_dataset_0236.jpg,train,front_dataset_0127.jpg,true,3
front_dataset_0237.jpg,valid,front_dataset_0166.jpg,true,3
front_dataset_0238.jpg,valid,front_dataset_0099.jpg,true,1
front_dataset_0239.jpg,train,front_dataset_0192.jpg,true,3
front_dataset_0240.jpg,test,front_dataset_0169.jpg,true,1
front_dataset_0241.jpg,train,front_dataset_0037.jpg,true,1
front_dataset_0242.jpg,test,front_dataset_0034.jpg,true,4
front_dataset_0243.jpg,train,front_dataset_0115.jpg,true,3
front_dataset_0244.jpg,train,front_dataset_0143.jpg,true,2
front_dataset_0245.jpg,train,front_dataset_0134.jpg,true,5
front_dataset_0246.jpg,train,front_dataset_0106.jpg,true,1
front_dataset_0247.jpg,valid,front_dataset_0033.jpg,true,2
front_dataset_0248.jpg,train,front_dataset_0049.jpg,true,2
front_dataset_0249.jpg,train,front_dataset_0086.jpg,true,1
